	match_url	date	score	home	guests	winner	home_goals	guests_goals
562	https://ru.corner-stats.com/rostov-spartak-nalchik-07-05-2011/premier-league-russia/match/17757	07/05/11	0 : 0	 ростов 	спартак-нальчик	nobody	0	0
563	https://ru.corner-stats.com/volga-nizhny-novgorod-anzhi-makhachkala-07-05-2011/premier-league-russia/match/16975	07/05/11	1 : 2	волга	 анжи 	guests	1	2
564	https://ru.corner-stats.com/kuban-krasnodar-terek-grozny-07-05-2011/premier-league-russia/match/17235	07/05/11	2 : 1	 кубань 	 ахмат 	home	2	1
565	https://ru.corner-stats.com/tomsk-krylya-samara-07-05-2011/premier-league-russia/match/17704	07/05/11	1 : 1	 томь 	 крылья советов 	nobody	1	1
566	https://ru.corner-stats.com/spartak-nalchik-dinamo-moscow-02-05-2011/premier-league-russia/match/17798	02/05/11	2 : 3	спартак-нальчик	 динамо москва 	guests	2	3
567	https://ru.corner-stats.com/krylya-samara-rubin-kazan-01-05-2011/premier-league-russia/match/17361	01/05/11	2 : 2	 крылья советов 	 рубин 	nobody	2	2
568	https://ru.corner-stats.com/krasnodar-zenit-st-petersburg-01-05-2011/premier-league-russia/match/17425	01/05/11	0 : 0	 краснодар 	 зенит 	nobody	0	0
569	https://ru.corner-stats.com/anzhi-makhachkala-rostov-01-05-2011/premier-league-russia/match/16974	01/05/11	1 : 0	 анжи 	 ростов 	home	1	0
570	https://ru.corner-stats.com/amkar-perm-tomsk-01-05-2011/premier-league-russia/match/17568	01/05/11	1 : 2	 амкар 	 томь 	guests	1	2
571	https://ru.corner-stats.com/volga-nizhny-novgorod-terek-grozny-27-08-2011/premier-league-russia/match/17247	27/08/11	3 : 1	волга	 ахмат 	home	3	1
572	https://ru.corner-stats.com/tomsk-amkar-perm-27-08-2011/premier-league-russia/match/17576	27/08/11	0 : 0	 томь 	 амкар 	nobody	0	0
573	https://ru.corner-stats.com/anzhi-makhachkala-dinamo-moscow-21-08-2011/premier-league-russia/match/16989	21/08/11	2 : 1	 анжи 	 динамо москва 	home	2	1
574	https://ru.corner-stats.com/lokomotiv-m-krasnodar-21-08-2011/premier-league-russia/match/17155	21/08/11	1 : 0	 локомотив 	 краснодар 	home	1	0
575	https://ru.corner-stats.com/kuban-krasnodar-volga-nizhny-novgorod-21-08-2011/premier-league-russia/match/17504	21/08/11	5 : 0	 кубань 	волга	home	5	0
576	https://ru.corner-stats.com/spartak-nalchik-spartak-m-21-08-2011/premier-league-russia/match/17316	21/08/11	1 : 1	спартак-нальчик	 спартак 	nobody	1	1
577	https://ru.corner-stats.com/terek-grozny-rostov-20-08-2011/premier-league-russia/match/17246	20/08/11	1 : 1	 ахмат 	 ростов 	nobody	1	1
